epoch,auc,loss,val_auc,val_loss
0,0.4876570701599121,0.07962305098772049,0.5998833775520325,0.07496102899312973
1,0.7565070390701294,0.049350231885910034,0.8017900586128235,0.022330069914460182
2,0.8612002730369568,0.03790539130568504,0.8593025207519531,0.02005511336028576
3,0.8875153064727783,0.03467559069395065,0.8787426352500916,0.019754722714424133
4,0.9010074734687805,0.03282547369599342,0.8916752934455872,0.018400320783257484
5,0.916923999786377,0.030460979789495468,0.9003849625587463,0.018013732507824898
6,0.9263745546340942,0.028693920001387596,0.9075469374656677,0.019344797357916832
7,0.9349839091300964,0.027240565046668053,0.9157310128211975,0.017348768189549446
8,0.9474702477455139,0.024860087782144547,0.9167856574058533,0.01791457273066044
9,0.952426552772522,0.023526450619101524,0.9147846102714539,0.019435212016105652
10,0.9590933322906494,0.022067349404096603,0.9212697744369507,0.017186690121889114
11,0.966315746307373,0.020308902487158775,0.9213259816169739,0.018502263352274895
12,0.972024142742157,0.018512621521949768,0.9221808314323425,0.019106488674879074
13,0.9755185842514038,0.01748674549162388,0.9225897192955017,0.020248331129550934
14,0.9778199195861816,0.016641128808259964,0.9256817102432251,0.0188811793923378
15,0.9809030294418335,0.015535157173871994,0.9225454330444336,0.020475147292017937
16,0.9828149676322937,0.014654770493507385,0.9174073934555054,0.021984918043017387
17,0.9831152558326721,0.014627523720264435,0.9154794216156006,0.021533330902457237
18,0.9833470582962036,0.014339098706841469,0.9189377427101135,0.02106347307562828
19,0.9855937361717224,0.013631266541779041,0.9193787574768066,0.021164199337363243
