epoch,auc,loss,val_auc,val_loss
0,0.45893895626068115,0.07875680923461914,0.4566624164581299,0.07243506610393524
1,0.8074773550033569,0.04329261556267738,0.8367894291877747,0.021574147045612335
2,0.8674898743629456,0.036823902279138565,0.880242109298706,0.019617294892668724
3,0.8920257687568665,0.03394348919391632,0.8829057216644287,0.018873797729611397
4,0.8977790474891663,0.03316036984324455,0.9039597511291504,0.018029557541012764
5,0.912498414516449,0.03098430670797825,0.9049842357635498,0.019944896921515465
6,0.92070472240448,0.029492203146219254,0.9145702719688416,0.0170025285333395
7,0.9266640543937683,0.028390567749738693,0.9185547232627869,0.01863798312842846
8,0.93779456615448,0.02671736106276512,0.9045665860176086,0.019983110949397087
9,0.942089855670929,0.025716321542859077,0.9188442826271057,0.01974521391093731
10,0.9530029296875,0.02338012121617794,0.916898787021637,0.01746685802936554
11,0.9591332674026489,0.02192317135632038,0.9250835180282593,0.017807962372899055
12,0.964662492275238,0.020578458905220032,0.9279538989067078,0.016907069832086563
13,0.9714012742042542,0.018551066517829895,0.9285533428192139,0.01693044975399971
14,0.9719185829162598,0.018306495621800423,0.924616277217865,0.017540251836180687
15,0.9775051474571228,0.016560468822717667,0.9269150495529175,0.017208311706781387
16,0.9791629314422607,0.01590845361351967,0.9272403717041016,0.017526235431432724
17,0.9830141663551331,0.014606247656047344,0.9251765012741089,0.019214855507016182
18,0.982047438621521,0.014721141196787357,0.9283909797668457,0.017951004207134247
19,0.9835381507873535,0.014392763376235962,0.9282057881355286,0.017853258177638054
