epoch,auc,loss,val_auc,val_loss
0,0.4631626307964325,0.07384353131055832,0.4698106646537781,0.07277831435203552
1,0.8058351874351501,0.04322175309062004,0.8365346193313599,0.022166702896356583
2,0.868355929851532,0.036760758608579636,0.8674793839454651,0.020241156220436096
3,0.8860937356948853,0.035060033202171326,0.8668168187141418,0.020650075748562813
4,0.8993828296661377,0.032622937113046646,0.8794016242027283,0.019804872572422028
5,0.9069656729698181,0.031867217272520065,0.8884990215301514,0.018612748011946678
6,0.9153609275817871,0.03055141121149063,0.8983487486839294,0.018399005755782127
7,0.9255532026290894,0.028981924057006836,0.9020602703094482,0.018635163083672523
8,0.9324516654014587,0.027641670778393745,0.8923577666282654,0.020045770332217216
9,0.9419184327125549,0.02557995915412903,0.914334774017334,0.016746843233704567
10,0.9512704610824585,0.02410951815545559,0.917490541934967,0.01800837367773056
11,0.9557601809501648,0.022785048931837082,0.9170548915863037,0.017396409064531326
12,0.9621822834014893,0.02134094201028347,0.9075707197189331,0.019002070650458336
13,0.9680910110473633,0.019725147634744644,0.9227085113525391,0.01919238269329071
14,0.9726300835609436,0.018304627388715744,0.9182295799255371,0.018815336748957634
15,0.9757021069526672,0.017247620970010757,0.9174436926841736,0.019253915175795555
16,0.979802668094635,0.01595798321068287,0.9185186624526978,0.01905990019440651
17,0.9812082052230835,0.015383675694465637,0.9200165867805481,0.018879298120737076
18,0.9831247925758362,0.0146512221544981,0.9189373254776001,0.018956901505589485
19,0.9819484949111938,0.015016927383840084,0.9182960987091064,0.019091598689556122
